artist,title,genre,rating,date,image,score,sp_artist,sp_popularity,sp_followers,sp_artist_id
Fiona Apple,Fetch the Bolt Cutters,Pop/Rock,4.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Q09ZNWphOVFIo3kexBJk09_M69_UI9rrJSVvWL2-yAg=&f=3,86.25,Fiona Apple,75,625943,3g2kUQ6tHLLbmkV7T4GPtL
Lido Pimienta,Miss Colombia,"Electronic, Latin, Pop/Rock",4.5,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Inu05zuXJxm0luxcBmWmahyhM-OFI8zG4l-qVpXXB1I=&f=3,80.25,Lido Pimienta,51,19919,1IdkKQ9CM1i0wygfxYV4Z3
Trivium,What the Dead Men Say,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=epuqKkLi6xOdbhM9Yh9QRj6KsMttLlyBmmVTZ6_CLs0=&f=3,77.5,Trivium,70,972937,278ZYwGhdK6QTzE3MFePnP
Enter Shikari,Nothing Is True & Everything Is Possible,Pop/Rock,4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=0C9Zdo4HJEhLqLwqBzQxuw4Q1ghY8VaPylnm7PwcKNY=&f=3,77.0,Enter Shikari,68,299868,31jvzuB4ikftPQZJwrYfCF
BC Camplight,Shortly After Takeoff,Pop/Rock,4.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Inu05zuXJxm0luxcBmWmaphUoDg0hsvx4F4sL4oO-nA=&f=3,76.75,BC Camplight,37,9533,3cePP77CX6XY9b0aigzrqh
Ezra Furman,Sex Education [Original Soundtrack],"Pop/Rock, Stage & Screen",4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=cSAGhH0s4ZKOicR-TGUiEx_TZlp6n_cq-Emr2zx15tU=&f=3,74.5,Ezra Furman,58,103289,1uR7zoLrSRI8bSL43OZ0GY
RJD2,The Fun Ones,"Pop/Rock, Rap, R&B;",4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=CtXFHF1DkMAd-ca8AVr3mFWnbEN5fCjifro6xhIBuB4=&f=3,74.5,RJD2,58,288999,1O3ZOjqFLEnbpZexcRjocn
The Black Dahlia Murder,Verminous,Pop/Rock,4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=XoMnT0Kj002uPqKNR4t3jB_TZlp6n_cq-Emr2zx15tU=&f=3,74.5,The Black Dahlia Murder,58,197169,4xTDPgk4jHCF0qui3dH6BS
Katatonia,City Burials [Deluxe Edition],Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Rsglqwuc-4nDLgO7-Yvx6d_M69_UI9rrJSVvWL2-yAg=&f=3,74.0,Katatonia,56,203774,2CWWgbxApjbyByxBBCvGTm
Active Child,In Another Life,Pop/Rock,4.0,2020-04-17T00:00.000Z,https://cdn-s3.allmusic.com/release-covers/250/0005/187/0005187354.jpg,72.75,Active Child,51,92028,54KTsBl98buzGkELjGlnuU
Ron Sexsmith,Hermitage,Pop/Rock,4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=hAz9pcV3j1f_2NuOsLoLCt_M69_UI9rrJSVvWL2-yAg=&f=3,72.0,Ron Sexsmith,48,26552,2wXBWJhbm1gfEVjyEEuhDH
Other Lives,For Their Love,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=BiVpgXi5Vu7yaSLdswqUOhyhM-OFI8zG4l-qVpXXB1I=&f=3,71.75,Other Lives,47,72436,3bw0A7x5AgdJsK20ai5iS6
Joel Harrison,America At War,Jazz,4.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=BuPBSH2tK4Vh9GeiRXiAGASijaXJlYnq0St31qpAJWo=&f=3,71.5,Joel Harrison,16,408,6BXA5FDonefcAe2hg4T7K5
Shelby Lynne,Shelby Lynne,Pop/Rock,4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Gjp-bjglii3NTP-HhLn1yJhUoDg0hsvx4F4sL4oO-nA=&f=3,71.25,Shelby Lynne,45,30380,3xx17YXYvPl9PBx6Jzalk4
Tech N9ne,Enterfear,Rap,3.5,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=jJypcpDBwTaZbA5iqfyS5QSijaXJlYnq0St31qpAJWo=&f=3,71.25,Tech N9ne,75,1583812,6UBA15slIuadJ8h2lPRPos
The Pack A.D.,It Was Fun While It Lasted,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=UWYjn5GimM6IEHl3nFWJ7g4Q1ghY8VaPylnm7PwcKNY=&f=3,70.75,The Pack a.d.,43,27381,2gbOUPIhea9nrCmAeZBgpo
Peter Oren,The Greener Pasture,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=qG9DOUkx8bspSvKS3pitGwSijaXJlYnq0St31qpAJWo=&f=3,70.75,Peter Oren,43,3889,3F4I37yqRPW4B95eRCHsyA
Romain Collin,Americana,Jazz,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=PLPRAYTnLoLzklcRfciOHCpQg_7iAU1wjqLgK_xGXts=&f=3,70.25,Romain Collin,41,871,3TLGhZ93eWc4caAzMiMWJV
King Gizzard & the Lizard Wizard,Chunky Shrapnel,Pop/Rock,3.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=QZcr3tp5jcGfjLpL1arfZoAf7E_1E-2MlBBPmPAXRBU=&f=3,69.25,King Gizzard & The Lizard Wizard,67,481595,6XYvaoDGE0VmRt83Jss9Sn
Damaged Bug,Bug on Yonkers,Pop/Rock,4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=3laSzQBrEmU_eg6LH7EnMVWnbEN5fCjifro6xhIBuB4=&f=3,69.25,Damaged Bug,37,11730,0OqqomaR6NwSNKDpqnHlBo
Lorenzo Senni,Scacco Matto,Electronic,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=cSAGhH0s4ZKOicR-TGUiEwSijaXJlYnq0St31qpAJWo=&f=3,68.75,Lorenzo Senni,35,10702,7mKwhB3UiepqzM946jBOyi
RVG,Feral,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=qG9DOUkx8bspSvKS3pitG4Af7E_1E-2MlBBPmPAXRBU=&f=3,68.25,RVG,33,5252,4a2c6VZMfp0CdNg1JgSPR9
Soul Asylum,Hurry Up and Wait,Pop/Rock,3.5,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Rsglqwuc-4nDLgO7-Yvx6RyhM-OFI8zG4l-qVpXXB1I=&f=3,67.25,Soul Asylum,59,339827,02da1vDJ2hWqfK7aJL6SJm
Andrew Gold,Something New: Unreleased Gold,Pop/Rock,3.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=O277-PmEQNM7jHACKnBsbg4Q1ghY8VaPylnm7PwcKNY=&f=3,66.0,Andrew Gold,54,50632,5fmvGUlMVgmnCn45f1he7d
Datura4,West Coast Highway Cosmic,Pop/Rock,4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Inu05zuXJxm0luxcBmWmat_M69_UI9rrJSVvWL2-yAg=&f=3,65.75,Datura4,23,1296,3mA3sO1zseVtFQ56oqlJYk
Hazel English,Wake UP!,Pop/Rock,3.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=hmQj-By3GD_B9f5HQMLdbz6KsMttLlyBmmVTZ6_CLs0=&f=3,65.5,Hazel English,52,46448,1nEGjL7aMVdNQzsfQPKdGr
Marker Starling,High January,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=uwp0JZ3k7oX8Zzq1lTIeCVWnbEN5fCjifro6xhIBuB4=&f=3,65.5,Marker Starling,22,1597,3ng4JmUTAES0oTSlDkF3if
Shabazz Palaces,The Don of Diamond Dreams,Rap,3.5,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=RV3qP-nlMVk9SIPOmehJDipQg_7iAU1wjqLgK_xGXts=&f=3,64.5,Shabazz Palaces,48,90894,6C403AR4y6PjN0xNNGh42m
Alice Bag,Sister Dynamite,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=UWYjn5GimM6IEHl3nFWJ7h_TZlp6n_cq-Emr2zx15tU=&f=3,64.25,Alice Bag,17,3075,0LK0Nj6UFKDtcCju1cD1sm
White Poppy,Paradise Gardens,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=OkEfzUWFZEo0fDA6l-uYig4Q1ghY8VaPylnm7PwcKNY=&f=3,63.75,White Poppy,15,2056,65BcicEkX7VQAJ1Cl9fgxM
Mark Kozelek,"All the Best, Isaac Hayes","Pop/Rock, Comedy/Spoken",3.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=BuPBSH2tK4Vh9GeiRXiAGByhM-OFI8zG4l-qVpXXB1I=&f=3,63.25,Mark Kozelek,43,44406,0qt6QSruHshcWT9QOzyfZp
Dead Ghosts,Automatic Changer,Pop/Rock,3.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=QeXeB9TKje5xoG9iV2xUsFWnbEN5fCjifro6xhIBuB4=&f=3,62.75,Dead Ghosts,41,27912,3p0vuGnsU3JN0ZVBLiJwmp
Brendan Benson,Dear Life,Pop/Rock,3.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=2Sxqjr7nk0vO-gu_-xSQah_TZlp6n_cq-Emr2zx15tU=&f=3,62.5,Brendan Benson,40,21212,2Ij97fuR3unjlboQfIYs31
America,Heritage II: Demos/Alternate Takes 1971-1976,Pop/Rock,3.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=O277-PmEQNM7jHACKnBsbh_TZlp6n_cq-Emr2zx15tU=&f=3,62.5,America,70,870215,35U9lQaRWSQISxQAB94Meo
Wares,Survival,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=m9Bs3uJuyN-SzX58rGVE9ZhUoDg0hsvx4F4sL4oO-nA=&f=3,62.25,Wares,9,345,4IJfEp4CKdYvIGGm6Y8xf6
Louis Prince,Thirteen,Pop/Rock,3.5,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Jlba4ldQwTVl1EvE8yaBJlWnbEN5fCjifro6xhIBuB4=&f=3,60.5,Louis Prince,32,1272,28UHHsOtyPTT2OOIMA48Ps
Sophie Tassignon,Mysteries Unfold,Avant-Garde,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=LipWCItvIWDkDo-TeIKIO1WnbEN5fCjifro6xhIBuB4=&f=3,60.0,Sophie Tassignon,0,19,2DUrF7J2tf7do5V6qwe2pp
Richard Bishop,Oneiric Formulary,"Pop/Rock, Jazz, International, Folk, New Age",4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Y9Yv67U_815luprU6uTDDASijaXJlYnq0St31qpAJWo=&f=3,60.0,,0,,
Primo,Sogni,Pop/Rock,3.5,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=_YWT1X9uDIO8v6xn5fX7OQSijaXJlYnq0St31qpAJWo=&f=3,59.75,Primo,29,833,34O5j4kXzwzwpusQApiRLA
Lucinda Williams,Good Souls Better Angels,"Folk, Pop/Rock, Blues",3.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=T8HGHNi5b_lwiXbJc4xxZSpQg_7iAU1wjqLgK_xGXts=&f=3,59.5,Lucinda Williams,58,140220,60ht0hWRy1yjUDfNsLuHuP
Leslie Mendelson,If You Can't Say Anything Nice,Pop/Rock,3.5,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=epuqKkLi6xOdbhM9Yh9QRipQg_7iAU1wjqLgK_xGXts=&f=3,59.25,Leslie Mendelson,27,1586,5Nfp6FbYdlF3KQ2wojhW0l
EOB,Earth,"Pop/Rock, Electronic",3.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Gjp-bjglii3NTP-HhLn1yIAf7E_1E-2MlBBPmPAXRBU=&f=3,58.25,EOB,53,21457,4CX6yOoTFQeiwL5yxuFuIG
The Howling Hex,Knuckleball Express,Pop/Rock,3.5,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=9ETCyfRVFEaoY5c6mxWdnT6KsMttLlyBmmVTZ6_CLs0=&f=3,58.0,The Howling Hex,22,319,4bKYclYcmlfz3GaEXZYuQw
Macula Dog,Breezy,Pop/Rock,3.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=jLwoeEVzV6kiRKLrsrpL_YAf7E_1E-2MlBBPmPAXRBU=&f=3,55.5,Macula Dog,12,883,3UnInNZgdl0q6Wd24imO3T
Danzig,Sings Elvis,Pop/Rock,2.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=YtybjwesZHHcrU29B3nPMASijaXJlYnq0St31qpAJWo=&f=3,52.5,Danzig,60,450744,34c4iQ5tkaZKu6Sv28BTde
